P1,To Thanh Tri,09/12/1991,0914347345,true,1,true,Quang Nam,Bus,,
P2,Le Quang Dao,30/12/1991,0905660370,false,1,true,Quang Ngai,Bus,,
P3,Hoang Tuan Dung,11/08/1991,0391456578,,2,true,Nghe An,Tau Hoa,,
P4,Le Van Mui,10/12/1991,0905254622,true,1,,Quang Ngai,Bus,,
P5,Hua Van Trung Hieu,29/08/1991,0586750423,false,1,true,Quang Nam,Xe May,,
F1,Andy Viaan,07/08/1989,0909564567,true,2,,,,India,VN1269
F2,James Elizabeth,06/01/1982,,false,2,,,,USA,VN1435
F3,Daniel Sarah,12/11/1990,0373657521,,2,true,,,USA,VN1414
F4,Liu Yi Fei,25/08/1987,,true,2,true,,,China,VN1696
F5,Huang Xiao Ming,13/11/1977,,true,2,true,,,China,VN1696
